name,postal_code,latitude,longitude
La nouvelle Boulangerie,12055.0,52.469519999999996,13.452829999999999
Karl-Heinz Heymann Cafe,10405.0,52.53395,13.42455
M&R Grill UG,10405.0,52.5319,13.42441
Camp,10405.0,52.53751,13.429279999999999
Omelegg - Prenzlauer Berg,10405.0,52.53476,13.42585
Rodi Cafe,10405.0,52.537,13.429789999999999
Weinraumwohnung Berlin,10405.0,52.5364,13.42501
Uluru Resort,10405.0,52.53703,13.421420000000001
Fettnapf,10405.0,52.535819999999994,13.419629999999998
Gastronomie-Kultur Eberhard UG,10405.0,52.532140000000005,13.41676
Luckys Treff,10405.0,52.53911,13.422979999999999
MONRAW,10405.0,52.5318,13.41635
Gastro Wasserturm GmbH,10405.0,52.53238,13.41619
Adopia,10405.0,52.54158,13.425320000000001
Helin-Cafe,12051.0,52.468759999999996,13.434610000000001
Schankwirtschaft Thi Nguyen,10437.0,52.54435,13.41641
Avci Restaurant,12347.0,52.46059,13.434989999999999
Paparazzi 63/Lounge-Shisha-Bar,12619.0,52.521640000000005,13.59159
Mitan Gaststätten GmbH,12679.0,52.545919999999995,13.55454
Bierquelle,10409.0,52.54192,13.43927
Hells Angels MC Potsdam,13086.0,52.5495,13.44439
Backshop Harmonie,10437.0,52.54746,13.4049
Bierkeller,12683.0,52.5289,13.558689999999999
Bretzelschmiede,13051.0,52.57756,13.483479999999998
Bonjour Baguette,12685.0,52.5347,13.551329999999998
Café Baguetterie,12557.0,52.4441,13.56896
Kaffeeautomat auf dem S-Bahnsteig,12055.0,52.46945,13.44324
Café Dostlar,10997.0,52.50086999999999,13.428920000000002
KuSs Kaffee & Systemservice UG,12623.0,52.47473000000001,13.60086
W&C Lunch Cafe UG (haftungsbeschränkt),12621.0,52.494769999999995,13.577129999999999
89 Kiosk & Bäckerei,12355.0,52.410070000000005,13.50545
Café Zara,12524.0,52.413140000000006,13.57214
Da Da Da,12527.0,52.42223,13.5765
Gutbürgerliche Küche,12487.0,52.443630000000006,13.48494
Monika Ritterskamp Gastro - Agentur,12623.0,52.481809999999996,13.6121
Dönerladen,12489.0,52.43338000000001,13.5355
Bareto,13347.0,52.55066,13.361020000000002
El Bastino Gaststätten GmbH,12555.0,52.44785,13.57562
MIB Systemgastronomie e. K.,12555.0,52.446630000000006,13.57838
Cafe FINAL Bistro Bar,12555.0,52.44506,13.574370000000002
E.S.A. Gastro & Entertainment GmbH,12559.0,52.440380000000005,13.601429999999999
Kebaphaus,12555.0,52.45528,13.5764
Familie Augustin,12555.0,52.4567,13.57814
Answer,12051.0,52.46869,13.433829999999999
مطعم الشامي,12051.0,52.4699,13.42959
Ditsch,12439.0,52.45618,13.50929
kiezbäcker.berlin,12489.0,52.44121,13.539220000000002
TIP Restaurations GmbH Gaststätten im Tierpark,10319.0,52.50265,13.529739999999999
Schranke,12683.0,52.5134,13.554170000000001
Döner Point,12683.0,52.50666,13.56005
Chinese family restaurant,12621.0,52.50496999999999,13.58182
Zwillinge Bäckerei Und Stehcafé,12459.0,52.46723000000001,13.511370000000001
Gaststätte Hühnerstall,12627.0,52.5334,13.60275
Diele,12555.0,52.454640000000005,13.57709
Nerdbude,12557.0,52.43914,13.567120000000001
Manu's Sport Bar,12051.0,52.4687,13.43319
Cafe Wunderbar,12051.0,52.46535,13.43411
M&A Family Back,10249.0,52.524330000000006,13.4497
Mama Banh,10823.0,52.48976999999999,13.354389999999999
Bistro Backshop,14165.0,52.41084,13.262179999999999
Knese,10707.0,52.500769999999996,13.31135
Back Shop,12349.0,52.415420000000005,13.405629999999999
أفران عزام/ Azzam Bäckerei,12277.0,52.40753,13.38127
Coffee Art,10115.0,52.53205,13.395929999999998
Manufaktur,10115.0,52.530319999999996,13.39224
BarFlow - Bar & Cocktailcatering,12109.0,52.442809999999994,13.44764
Rossiya - Imbiss,10627.0,52.50513,13.30289
