name,owners,types,opening_hours_tuesday,rating,disqualification_reason,phone_number,email,is_qualifed,latitude,longitude,place_id
Fedora - Russischer Imbiss,,['restaurant'],8:00 AM – 9:00 PM,4.9 (rated 22 times),,,,true,52.51391,13.47551,03c3ffb0-f1f6-4c31-82be-8d42bf11418d
Mama Maria's,,['restaurant'],,5 (rated 1 times),,,,true,52.51332,13.47934,3aa5bf2b-3802-4db6-8c19-1c243034c673
Buffet der Saison,Alexander Otto,['restaurant'],10:00 AM – 9:00 PM,3.8 (rated 35 times),,03055397457,info@ring-center.de,true,52.51417,13.47674,a123df51-13b0-4c90-92bb-56bd8232a969
Steineckes Heidebrot,Katrin Steinecke,"['bakery', 'store']",8:00 AM – 10:00 PM,3.8 (rated 20 times),chain,03055009930,,false,52.51431,13.47733,22c75a43-4660-4e84-be6e-01ba0c924a45
Shop der Brezelbäckerei Ditsch GmbH,,"['bakery', 'store']",5:00 AM – 8:00 PM,3.9 (rated 35 times),chain,03033024796,,false,52.51385,13.47548,3e62ad33-17bd-4780-975c-dad6a1ac5323
McDonald's,,"['restaurant', 'cafe']",7:00 AM – 1:00 AM,2.9 (rated 1193 times),chain,03051097093,,false,52.50994,13.53151,5b1e2f93-d7bc-40a9-ab84-83b07a0a22ec
Café Robiniengrund,,['cafe'],10:00 AM – 5:00 PM,4 (rated 4 times),,01782407929,,true,52.52865,13.51630,69e10012-2f81-4237-9af2-d5b17da72ef4
International Imbiss,,['restaurant'],,,,,,true,52.51104,13.52968,20c5ecae-9439-4ee2-918a-1bfc0537af52
Elterncafé Vitale Großstadtmäuse,Inhaltlich Verantwortlicher gemäß § & IBP Privatinstitut für Bewusstseins & Nicole Hausmann,"['cafe', 'store']",Closed,3.6 (rated 7 times),,01723082200,,true,52.50166,13.50277,af874095-ddd0-4a5b-8dc7-34dccc05a0e5
RIO2,,['bar'],Open 24 hours,4.3 (rated 4 times),,,,true,52.51038,13.51551,1fa9e064-43b2-4743-8de3-6475d30276d7
McCafé,,['cafe'],,2.9 (rated 25 times),chain,,,false,52.50994,13.53151,d60675d4-dc8e-4ae6-9d43-aaf90ff585b1
La Pablo,,['restaurant'],11:00 AM – 11:00 PM,3.6 (rated 25 times),,03088700771,,true,52.50527,13.51450,3d701946-9e0e-47c1-971c-0a696134177b
Ristorante Il Bufalo,Mehno's Limited,"['restaurant', 'bar']",11:30 AM – 11:30 PM,4.1 (rated 226 times),,03052679700,,true,52.50100,13.49743,79c47e8b-0ca2-4ee8-a734-9bb48f2c5e35
Tiger Asia-Euro Bistro,,['restaurant'],10:00 AM – 9:30 PM,3.7 (rated 14 times),,03051065526,,true,52.50720,13.51236,33b11ff7-6cde-4983-b652-751f1e0676d8
